name,description,url,categories,developers,licenses,programming_languages,website_url,documentation_url,source_code_url
Spine Toolbox,"Spine Toolbox is an integrated platform for data acquisition and data processing with advanced functionalities for enabling the chaining of tools and models into complex shareable workflows. The software helps users to import and manage data, define models and scenarios and orchestrate projects. It facilitates the linking of models with different scopes, or spatio-temporal resolutions, through the user interface.",https://opentools.globalpst.org/tools/spine-toolbox,Data Structures,VTT; KTH; Energy Reform; University College Dublin; KU Leuven,GNU Lesser General Public License v3.0+,Python,http://www.spine-model.org/,https://spine-toolbox.readthedocs.io/en/latest/?badge=latest,https://github.com/spine-tools/Spine-Toolbox
CIM++,CIM++ is a software project around a deserialiser library (libcimpp) for C++ objects from XML/RDF documents based on the Common Information Model (CIM) standards (i.e. IEC61970/61968/62325) for the energy sector.,https://opentools.globalpst.org/tools/libcimpp,Data Structures,RWTH Aachen University,Mozilla Public License 2.0,C++,https://www.fein-aachen.org/en/projects/cimpp/,https://github.com/sogno-platform/libcimpp,https://github.com/sogno-platform/libcimpp
System Advisor Model,"The National Renewable Energy Laboratory's System Advisor Model (SAM) is a free techno-economic software model that facilitates decision-making for people in the renewable energy industry. SAM’s performance models are for photovoltaic systems with optional battery storage, concentrating solar power, industrial process heat, solar water heating, wind, marine energy, geothermal, biomass, and conventional power systems that either deliver electricity directly to the power grid, or interact with the electric load of a grid-connected building or facility. The financial models are for behind-the-meter projects that buy and sell electricity at retail rates (residential and commercial), or front-of-meter projects that sell electricity at a price determined in a power purchase agreement (PPA) or at market prices. SAM also has financial models for third-party ownership and community solar financial structures. SAM can model large or small projects, ranging from residential rooftop photovoltaic installations to large concentrating solar power generation projects and wind farms. The SAM Software Development Kit (SDK) provides tools for integrating SAM into software projects developed in a variety of languages. It includes the Python package PySAM. SAM is an open source project, so its source code is available to the public. Researchers can study the code to understand the model algorithms, and software programmers can contribute their own models and enhancements to the project. Reference manuals describing the model algorithms are also available for download from the SAM website.",https://opentools.globalpst.org/tools/sam,Device Modeling,NREL,BSD 3-Clause License,C++,https://sam.nrel.gov,https://sam.nrel.gov,https://github.com/nrel/sam
PV generator,Matlab code to generate realistic PV power injection profiles for 1 day,https://opentools.globalpst.org/tools/pvgenerator,Device Modeling,RWTH Aachen University,GNU General Public License v3.0,MATLAB,https://www.fein-aachen.org/en/projects/PVgenerator/,https://git.rwth-aachen.de/acs/public/simulation/pvgenerator/-/blob/master/README.md,https://git.rwth-aachen.de/acs/public/simulation/pvgenerator
PVWatts Calculator,"NREL's PVWatts® is a web application developed by the National Renewable Energy Laboratory (NREL) that estimates the electricity production of a grid-connected roof- or ground-mounted photovoltaic system based on a few simple inputs. To use the calculator, you provide information about the system's location, and basic design parameters. PVWatts® calculates estimates of the system's annual and monthly electricity production.  Important Note. PVWatts® is suitable for very preliminary studies of a photovoltaic system that uses modules (panels) with crystalline silicon or thin film photovoltaic cells. PVWatts® production estimates do not account for many factors that are important in the design of a photovoltaic system.",https://opentools.globalpst.org/tools/pvwatts,Device Modeling,NREL,BSD 3-Clause License,C++,https://pvwatts.nrel.gov/index.php,https://pvwatts.nrel.gov/index.php,https://github.com/NREL/ssc
SSMD,"Matlab code to generate the state-space A and B matrices of electrical distribution grids, including inverter, loads and lines components. The slack bus can be selected depending on the type of grid (conventional- or micro-grid). The matrices can also be used to run any time simulation, with user-defined inputs and disturbances and selecting simulation time stamp and duration.",https://opentools.globalpst.org/tools/ssmd,Distribution Modeling,RWTH Aachen University,GNU General Public License v3.0,MATLAB,https://www.fein-aachen.org/en/projects/ssmd/,https://git.rwth-aachen.de/acs/public/simulation/ssmd/-/blob/master/README.md,https://git.rwth-aachen.de/acs/public/simulation/ssmd
DistAIX,DistAIX (Distributed Agent-based SImulation of CompleX Power Systems) is a simulator for cyber-physical power distribution systems that makes use of high performance computing techniques to scale up the simulation. An agent-based modeling and simulation approach is applied to model the behavior of the electrical system as well as distributed control and decision-making processes. Communication between participants of the system (agents) is also modeled and simulated.,https://opentools.globalpst.org/tools/distaix,Distribution Modeling,RWTH Aachen University,GNU General Public License v3.0,Python; C++,https://www.fein-aachen.org/en/projects/distaix/,https://git.rwth-aachen.de/acs/public/simulation/DistAIXFramework/distaixweb/-/blob/master/README.md,https://git.rwth-aachen.de/acs/public/simulation/DistAIXFramework/distaixweb.git
eGo Framework,The python package eGo is a toolbox and also an application which combines eTraGo - a tool for optimizing flexibility options for transmission grids based on PyPSA and eDisGo - a toolbox in itself capable of analyzing distribution grids for grid issues and evaluating measures responding these.,https://opentools.globalpst.org/tools/ego-framework,Distribution Modeling,Reiner Lemoine Institut,GNU Affero General Public License v3.0,Python,https://openegoproject.wordpress.com/,https://openego.readthedocs.io/en/dev/welcome.html,https://github.com/openego
emerge,Modern DER impact analysis tool.,https://opentools.globalpst.org/tools/emerge,Hosting Capacity Analysis,NREL,BSD 3-Clause License,Python; JavaScript,,,https://github.com/NREL/EMeRGE
PowerSimulationsDynamics.jl,PowerSimulationsDynamics.jl is a Julia package for power system modeling and simulation of Power Systems dynamics.,https://opentools.globalpst.org/tools/powersimulationsdynamicsjl,Dynamics Simulation,NREL,BSD 3-Clause License,Julia,,,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl
ParaEMT,"ParaEMT is a power system electromagnetic transients (EMT) simulator, that has been developed (at NREL) for providing a powerful and flexible platform for simulating EMT of large-scale inverter-based resource (IBR)-dominated power systems leveraging parallel computing. ParaEMT has been fully open source since June 2023 at GitHub, to foster a community of EMT simulation and assist in exploring new EMT algorithms and applying advanced computational techniques to EMT simulation.",https://opentools.globalpst.org/tools/paraemt-nrel,Dynamics Simulation; EMT Modeling,NREL,BSD 3-Clause License,Python,https://github.com/NREL/ParaEMT_public,,https://github.com/NREL/ParaEMT_public
Dynaωo,"Dynaωo is an hybrid C++/Modelica open source suite of simulation tools for power systems. It aims at providing power system stakeholders with a transparent, flexible, interoperable and robust suite of simulation tools that could ease collaboration and cooperation in the power system community.  To achieve this goal, Dynaωo is based on two mains principles: the use of a high-level modelling language Modelica and a strict separation between the modelling and the solving parts.",https://opentools.globalpst.org/tools/dynawo,Dynamics Simulation,RTE,Mozilla Public License 2.0,C++; Modelica; Python,http://dynawo.org,http://dynawo.org/docs/,https://github.com/dynawo/dynawo
DPSim,DPsim is a real-time capable power system simulator that supports dynamic phasor and electromagnetic transient simulation as well as continuous power flow. It primarily targets large-scale scenarios on commercial off-the-sheld hardware that require deterministic time steps in the range of micro- to milliseconds.,https://opentools.globalpst.org/tools/dpsim,Dynamics Simulation; Power Flow,RWTH Aachen University,Mozilla Public License 2.0,C++,https://www.fein-aachen.org/en/projects/dpsim/,https://dpsim.fein-aachen.org/docs/,https://github.com/sogno-platform/dpsim
ModPowerSystems,"ModPowerSystems is a Modelica package which includes power systems models developed using static phasors, dynamic phasors as well as electromagnetic transient variables.",https://opentools.globalpst.org/tools/modpowersystems,EMT Modeling,RWTH Aachen University,Modelica License 2,Modelica,https://www.fein-aachen.org/en/projects/modpowersystems/,,https://github.com/ModPowerSystems/ModPowerSystems
Simplus Grid Tool,"Simplus Grid Tool (SimplusGT in short) is an open-source tool for dynamic analysis and time-domain simulation of power systems (large-scale, multi-apparatus, generator-converter-composite, AC or DC or hybrid AC-DC). The tool is based on Matlab/Simulink.",https://opentools.globalpst.org/tools/simplus,Dynamics Simulation; EMT Modeling,Imperial College London,BSD 3-Clause License,MATLAB,https://github.com/Future-Power-Networks/Simplus-Grid-Tool,https://github.com/Future-Power-Networks/Simplus-Grid-Tool/tree/master/Documentations,https://github.com/Future-Power-Networks/Simplus-Grid-Tool
PowerModels,"PowerModels.jl is a Julia package for Steady-State Power Network Optimization. It is designed to enable computational evaluation of emerging power network formulations and algorithms in a common platform. The code is engineered to decouple problem specifications (e.g. Power Flow, Optimal Power Flow, ...) from the power network formulations (e.g. AC, DC-approximation, SOC-relaxation, ...). This enables the definition of a wide variety of power network formulations and their comparison on common problem specifications.",https://opentools.globalpst.org/tools/powermodels,Power Flow,Los Alamos National Laboratory,BSD 3-Clause License,Julia,https://github.com/lanl-ansi/PowerModels.jl,https://lanl-ansi.github.io/PowerModels.jl/stable/,https://github.com/lanl-ansi/PowerModels.jl
MATPOWER,"Free, open-source tools for electric power system simulation and optimization. Multiple formulations of AC and DC models for power flow, continuation power flow, optimal power flow, deterministic and stochastic unit commitment and more.",https://opentools.globalpst.org/tools/matpower,Power Flow; Production Cost Modeling,Cornell University,BSD 3-Clause License,Octave; MATLAB,https://matpower.org/,https://github.com/MATPOWER/matpower,https://github.com/MATPOWER/matpower
pandapower,"An easy to use open source tool for power system modeling, analysis and optimization with a high degree of automation.",https://opentools.globalpst.org/tools/pandapower,Power Flow,Fraunhofer IEE; University of Kassel - e2n,BSD 3-Clause License,Python,www.pandapower.org,https://pandapower.readthedocs.io,https://github.com/e2nIEE/pandapower
ExaGO,"ExaGO provides applications to solve stochastic, security-constrained, and multiperiod ACOPF problems on high-performance with CPUs and GPUs.",https://opentools.globalpst.org/tools/exago,Power Flow,Pacific Northwest National Lab,BSD 3-Clause License,C++; Python,https://gitlab.pnnl.gov/exasgd/frameworks/exago,https://gitlab.pnnl.gov/exasgd/frameworks/exago/-/blob/master/docs/manual/manual.pdf,https://github.com/pnnl/ExaGO
pycity_scheduling,"Python package pycity_scheduling is a framework for the effective development, testing, and assessment of optimization-based power scheduling algorithms for local multi-energy systems in city districts. The framework primarily targets the elaboration of coordination concepts that can efficiently solve the power dispatch problem on the city district level. Its target users are researchers in the field of smart grid applications and the deployment of operational flexibility for local energy systems.",https://opentools.globalpst.org/tools/pycity-scheduling,Production Cost Modeling,RWTH Aachen University,MIT (Expat) License,Python,https://www.fein-aachen.org/en/projects/pycity_scheduling/,https://acs.pages.rwth-aachen.de/public/simulation/pycity_scheduling/,https://git.rwth-aachen.de/acs/public/simulation/pycity_scheduling.git
Antares,Power system simulator for quantifying the adequacy or the economic performance of interconnected energy systems,https://opentools.globalpst.org/tools/antares,Resource Adequacy Modeling; Production Cost Modeling,RTE,GNU General Public License v3.0,C++,,,https://github.com/AntaresSimulatorTeam/Antares_Simulator
SILVER,"SILVER (Strategic Integration of Large-capacity Variable Energy Resources) is a scenario-based electricity system model that explores the trade-offs among alternative balancing strategies for high variable renewable energy (VRE) electricity grids. SILVER optimizes the asset dispatch for a user-defined electricity system configuration that specifies demand response availability, generation assets, storage assets, and transmission infrastructure",https://opentools.globalpst.org/tools/silver,Production Cost Modeling,University of Victoria,MIT (Expat) License,Python,https://cme-emh.ca/inventory-model/silver/?lang=en,https://gitlab.com/sesit/silver,https://gitlab.com/sesit/silver
Inertia Monitor,"inertia is a Go package for real-time estimation of a power system's inertia levels. It defines software interfaces for ingesting and reporting data in real-time. System integrators can provide deployment-specfic data ingestion code (e.g., developed for use with a specific EMS or historian system) that conforms to the stated data interfaces for the desired estimation method. Once these input interfaces are implemented, ingested data can be automatically processed and reported out via the package's DataSink framework.",https://opentools.globalpst.org/tools/inertia-monitor,Real-Time Monitoring,NREL,BSD 3-Clause License,Go,,https://g-pst.github.io/inertia/pkg/github.com/G-PST/inertia/,https://github.com/G-PST/inertia
PRAS,Probabilistic Resource Adequacy Suite,https://opentools.globalpst.org/tools/pras,Resource Adequacy Modeling,NREL,MIT (Expat) License,Julia,,,https://github.com/NREL/PRAS
IDEA,"IDEA is a powerful open-source visualization dashboard and explorer, tailored for energy modeling inputs and outputs. IDEA is a versatile platform catering to both modelers and analysts. Modelers leverage IDEA during model development to scrutinize inputs and outputs, ensuring the model aligns with intended objectives. Once results are generated, IDEA enables users to delve deep into their data, explore research questions, and derive actionable insights. Whether used independently from its GitLab repository (https://gitlab.com/sesit/idea) or integrated into the M3 platform (https://gitlab.com/sesit/m3-spine), IDEA seamlessly launches after a model finishes running, providing a cohesive modeling experience. IDEA currently supports custom dashboards and plots for various model outputs, including COPPER (Emissions, Capacity, New Capacity, Net New Capacity, Supply, Transmission Flow, Capacity, Dispatch) and SILVER (OPF Costs, OPF Results, Price OPF, UC Results). Over time, the platform will be continually expanded to accommodate a wider array of models and outputs",https://opentools.globalpst.org/tools/idea,Visualization,University of Victoria,MIT (Expat) License,Python,https://gitlab.com/sesit/idea,https://gitlab.com/sesit/idea,https://gitlab.com/sesit/idea
GenX,"GenX: a configurable power system capacity expansion model for studying low-carbon energy futures.",,Capacity Expansion Modeling,Princeton; MIT,,Julia,,,https://github.com/GenXProject/GenX.jl
OSeMOSYS,"OSeMOSYS is an open source modelling system for long-run integrated assessment and energy planning. It has been employed to develop energy systems models from the scale of the globe, continents, countries, regions and villages. It can focuses on detailed power representations, or multi-resource (material, financial, all energy) systems.",,Capacity Expansion Modeling,,,,,,https://github.com/OSeMOSYS/OSeMOSYS
Temoa,"Tools for Energy Model Optimization and Analysis (Temoa) is an open source modeling framework for conducting energy system analysis.",,Capacity Expansion Modeling,,,Python,,,https://github.com/TemoaProject/temoa
TIMES,"The Integrated MARKAL-EFOM System (TIMES) - a bottom-up optimization model for energy-environment systems",,Capacity Expansion Modeling; Production Cost Modeling,,,,,,https://github.com/etsap-TIMES/TIMES_model
RESOLVE,"Resolve is a least-cost capacity expansion model that identifies optimal electricity supply portfolios through capacity expansion and production simulation modeling.",,Capacity Expansion Modeling,E3,,,,,https://github.com/e3-/resolve
GridDyn,"GridDyn is an open-source power transmission simulation software package",,Power Flow; Dynamics Simulation,LLNL,,,,,https://github.com/LLNL/GridDyn
